icao,name,lat,lon,runways,ils
CYXJ,"Fort St John",56.23842375,-120.739988,2,1
CYXS,"Prince George",53.8892631666667,-122.673850166667,3,2
CYXT,"Terrace",54.465828,-128.58226,2,1
CYXU,"London",43.03634616,-81.15066094,2,1
CYXX,"Abbotsford",49.0251590225,-122.37030682625,4,1
CYYB,"North Bay Jack Garland",46.3612066225,-79.4283464333333,6,1
CYYC,"Calgary Intl",51.11319727,-114.020043851667,3,3
CYYE,"Fort Nelson",58.83625,-122.59492775,2,1
CYYG,"Charlottetown",46.292586005,-63.122276095,2,1
CYYJ,"Victoria Intl",48.6473315,-123.426547333333,3,2
CYYT,"St Johns Intl",47.6145294578571,-52.74414701,7,3
CYYZ,"Toronto Lester B Pearson Intl",43.676134,-79.6276706,5,10
CYZF,"Yellowknife",62.4656665,-114.44141675,2,1
CYZP,"Sandspit",53.254303,-131.813751905,1,1
CYZR,"Sarnia - Chris Hadfield",42.9993055,-82.307848,2,1
CYZT,"Port Hardy",50.68079,-127.367732333333,3,1
CYZX,"Greenwood",44.98364893375,-64.91545275875,4,1
DAAG,"Alger Houari Boumediene",36.697521,3.21307925,2,2
DABB,"Annaba",36.82932575,7.8137465,2,1
DABC,"Mohamed Boudiaf Intl",36.27604175,6.62027775,2,1
DBBB,"Cadjehoun",6.3572265,2.384353,1,1
DFFD,"Ouagadougou",12.352189,-1.5116055,2,1
DGAA,"Accra_kotoka_intl",5.602578,-0.16760158,1,1
DIAP,"Abidjan Felix Houphouet Boigny Intl",5.261386,-3.926296,1,1
DNAA,"Nnamdi Azikiwe Intl",9.0067905,7.263171,1,2
DNIL,"Ilorin",8.440115,4.4939685,1,1
DNJO,"Yakubu Gowon",9.6398225,8.869083,1,1
DNKA,"Kaduna",10.6958665,7.3201445,1,1
DNKN,"Mallam Aminu Intl",12.04778425,8.524852,2,3
DNMA,"Maiduguri",11.855243,13.081285,1,1
DNMM,"Lagos Murtala Muhammed",6.57737975,3.3213475,2,2
DNMN,"Minna New",9.65234,6.46235,1,1
DNPO,"Port Harcourt Intl",5.0154555,6.949529,1,1
DNSO,"Sadiq Abubakar Iii Intl",12.915896,5.2068945,1,1
DNYO,"Yola",9.263721,12.43125325,2,1
DRRN,"Diori Hamani",13.482967,2.181087,2,1
DTKA,"Tabarka 7 Novembre",36.9801655,8.875125,1,1
DTMB,"Monastir Habib Bourguiba Intl",35.757843,10.754025,1,1
DTTA,"Carthage",36.8512675,10.230027,2,2
DTTJ,"Djerba Zarzis",33.8754475,10.777153,1,1
DTTZ,"Nefta",33.93961,8.1011095,1,1
DXXX,"Gnassingbe Eyadema Intl",6.165736,1.2541415,1,1
EBAW,"Antwerp Deurne",51.18975954,4.46035227,4,1
EBBE,"Beauvechain",50.7543886266667,4.76998626166667,3,1
EBBL,"Kleine Brogel",51.16778691,5.470906575,2,1
EBBR,"Brussels Airport",50.89969194,4.48266384277778,9,4
EBCI,"Brussels South - Charleroi",50.45994663,4.453124585,1,1
EBFS,"Florennes",50.24086387,4.648294745,2,1
EBLG,"Liege",50.6393904225,5.4456039,4,3
EBOS,"Oostende",51.19996658,2.875008315,1,2
EDAC,"Altenburg Nobitz",50.9818155,12.5063635,1,1
EDBC,"Magdeburg Cochstedt",51.8559265,11.418004,2,1
EDDB,"Berlin Schoenefeld",52.378541,13.52062925,2,2
EDDC,"Dresden",51.1335717225,13.7700046075,2,2
EDDE,"Erfurt",50.978145,10.960035,2,2
EDDF,"Frankfurt Am Main",50.031864618,8.542587818,5,6
EDDG,"Muenster Osnabrueck",52.13458011,7.684669025,1,2
EDDH,"Hamburg",53.6280567341667,9.99170878583333,6,3
EDDK,"Koln Bonn",50.8658006666667,7.13890333333333,3,3
EDDL,"Duesseldorf",51.28942375,6.76664575,2,4
EDDM,"Muenchen Franz-josef Strauss",48.3577976044445,11.79880682,9,4
EDDN,"Nurnberg",49.4969302166667,11.07354153,3,2
EDDP,"Leipzig-halle",51.42263075,12.2360415,2,4
EDDR,"Saarbrucken",49.2153429775,7.112610135,2,1
EDDS,"Stuttgart",48.689875,9.2219655,1,2
EDDT,"Berlin Tegel",52.55908775,13.28717275,4,4
